period 60
horizonLength 24
nbrDays 1
nbrTypEmployees 1
prAct 1
prCur 5
typParam 1
HD 2
nbrShiftTypes 1
ShtTyp 0 minPre 1 maxPre 4 breakLength 2 minPost 1 maxPost 4 minLength 8 maxLength 10 nbrStarts 12 Starts 0 2 4 6 8 10 12 14 16 18 20 22
nbrActs 9
Act 0 minLength 1 maxLength 2 Curve 3 5 3 4 4 0 3 3 3 10 4 2 4 0 2 3 4 4 2 3 1 1 1 0
Act 1 minLength 2 maxLength 3 Curve 1 1 1 3 2 0 1 4 3 2 3 3 1 0 0 3 4 2 0 0 4 6 3 0
Act 2 minLength 3 maxLength 4 Curve 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Act 3 minLength 1 maxLength 2 Curve 3 4 6 5 6 0 3 5 6 8 2 5 5 0 3 7 2 6 3 4 3 5 0 0
Act 4 minLength 2 maxLength 3 Curve 0 3 7 5 1 0 1 4 7 6 5 2 2 0 1 2 2 2 3 5 4 2 0 0
Act 5 minLength 3 maxLength 4 Curve 0 1 1 1 0 0 0 0 1 1 2 2 1 0 0 1 1 1 0 0 0 0 0 0
Act 6 minLength 1 maxLength 2 Curve 2 1 6 7 5 0 0 5 7 9 4 4 1 0 1 5 5 5 1 5 5 2 4 0
Act 7 minLength 2 maxLength 3 Curve 0 2 3 2 1 0 0 4 5 3 2 4 2 0 0 2 5 3 1 1 1 2 1 0
Act 8 minLength 3 maxLength 4 Curve 0 1 1 1 0 0 0 2 2 3 1 1 0 0 0 0 0 0 0 1 1 1 0 0
